N fonctionnalité;THEME;Date Fait;Demande 1;Demande 2;Demande 3;Demande 4;Résultat 1;Résultat 2;Résultat 3;Résultat 4;Paramètre Modifié;Ecran/Impression;Type;Ticket;Version
16568;TIERS;25/09/2019;Affichage de l'EMAIL dans l'écran Choix des Tiers;;;;MENU LES CLIENTS - Tiers;;;;N;Ecran;Nouveauté;;2019_09_01
16569;TIERS;25/09/2019;Nouveau critère de sélection. Tiers avec ou sans Email;;;;MENU LES CLIENTS - Tiers;;;;N;Ecran;Nouveauté;;2019_09_01
16570;CLIENT;25/09/2019;Choix des clients. Possibilité d'afficher par défaut les clients de l'agence affectée à une administrative.;il est possible de changer d'agence mais en cas de nouvelle recherche le système affichera l'agence par défaut.;Condition : Etre en gestion de plusieurs agences.;;MENU LES PARAMETRES - Autorisations - Bouton Gestion - Onglet Client - Saisir l'agence par défaut;;;;N;Ecran;Nouveauté;;2019_09_01
16571;CLIENT;25/09/2019;Nouveau critère de sélection. Client avec ou sans Email;;;;MENU LES CLIENTS - Client - Onglet Complément;;;;N;Ecran;Nouveauté;;2019_09_01
16572;CLIENT;25/09/2019;Nouveau champ. Une modification client effectuée en dehors de la fiche client est enregistrée en modification Auto;;;;MENU LES CLIENTS - Client - Onglet Notes - Onglet Suivi Fiche;;;;N;Ecran;Nouveauté;;2019_09_01
16573;CLIENT;25/09/2019;Nouveau champ. La date de contrôle d'un client est enregistrée dans la fiche;;;;MENU LES CLIENTS - Client - Onglet Notes - Onglet Suivi Fiche;;;;N;Ecran;Nouveauté;;2019_09_01
16565;PERSONNEL;24/09/2019;Possibilité de saisir des qualifications sans limite (PMG, Qualisav...);;;;MENU LES FICHIERS - Personnel - Bouton QUALIFICATION;;;;N;Ecran;Nouveauté;;2019_09_01
16566;PERSONNEL;24/09/2019;Possibilité d'attribuer différentes qualifications aux techniciens;;;;MENU LES FICHIERS - Personnel - Bouton Gérer le Personnel - Onglet Qualifications;;;;N;Ecran;Nouveauté;;2019_09_01
16567;FACTURE;24/09/2019;Impossible de saisir un réglement pour un devis CADUC.;;;;OK;;;;N;Ecran;Nouveauté;;2019_09_01
16564;DIVERS;20/09/2019;Dans l'écran d'envoi des mails il est désormais possible d'y associer un texte stocké dans la table Texte.;;;;OK;;;;N;Ecran;Nouveauté;;2019_09_01
16563;STOCK;18/09/2019;Nouvel Automate N° 031 pour un Contrôle Stock Voiture.;Ce contrôle supprime les enregistrements dont le stock est nul. ;;;OK;;;;N;Ecran;Nouveauté;;2019_09_01
16562;PERSONNEL;17/09/2019;Edition du Personnel. Ajout des critères facultatifs, Equipe, Agence  et Type;;;;MENU LES FICHIERS - Personnel - Bouton Edition;;;;N;Ecran;Modification;;2019_09_01
16561;STOCK;11/09/2019;Remise à Zéro des quantités de stock. Ajout des critères facultatifs Famille et Sous-famille.;;;;MENU LE STOCK - Article - Bouton Outils - Bouton Remise à Zéro Quantités;;;;N;Ecran;Nouveauté;;2019_09_01
16559;APPAREIL;10/09/2019;Fiche appareil. Ajout du technicien qui a fait le certificat de conformité.;;;;OK;;;;N;Ecran;Nouveauté;;2019_09_01
16560;APPAREIL;10/09/2019;Choix Appareil. Nouveau critère de recherche sur les appareil ayant ou non un certificat de conformité.;;;;MENU LES CLIENTS - Appareils;;;;N;Ecran;Nouveauté;;2019_09_01
16556;PARAMETRES;03/09/2019;Possibilité d'interdire la modification/Suppression d'une facture, d'un devis, d'un avoir, d'un bon comptoir;;;;PARAMETRES AUTORISATIONS - Onglet Général;;;;O;Ecran;Nouveauté;;2019_09_01
16557;TIERS;02/09/2019;Possibilité de rendre obligatoire le réglement dans la fiche Tiers.;;;;PARAMETRES GENERAUX - Divers - Onglet Page 1 - Cocher Tiers ou Client + Tiers pour le Réglement;;;;O;Ecran;Nouveauté;;2019_09_01
16558;STOCK;02/09/2019;La modification du casier dans la fiche article est désormais tracée dans le fichier de modifications.;;;;OK;;;;N;;Nouveauté;;2019_09_01
16554;TIERS;29/08/2019;Possibilité de rendre obligatoire le type de clientèle dans la fiche Tiers.;;;;PARAMETRES GENERAUX - Divers - Onglet Page 1 - Cocher Tiers ou Client + Tiers pour le Type de clientèle;;;;O;Ecran;Nouveauté;;2019_08_01
16555;FICHIERS GENERAUX;29/08/2019;Possibilité d'interdire l'utilisation d'un type de clientèle pour un Dossier.;;;;FICHIERS GENERAUX - Onglet Type - Onglet Clientèle;;;;N;Ecran;Nouveauté;;2019_08_01
16550;FICHIERS GENERAUX;05/08/2019;Nouvelle Table de Codes Partenaire.;Ces codes peuvent être affectés aux clients (Sous condition que la case Gestion partenaire soit cochée);;;FICHIERS GENERAUX - Onglet Devis/Marketing  - Onglet Partenaire;PARAMETRES GENERAUX - Divers - Onglet Page 1 - Cocher Gestion Partenaire;;;O;Ecran;Nouveauté;;2019_08_01
16551;FICHIERS GENERAUX;05/08/2019;Nouveau champ pour les types de clientèle afin de rendre obligatoire ou/non un code partenaire;;;;FICHIERS GENERAUX - Onglet Type - Onglet Clientèle;;;;N;Ecran;Nouveauté;;2019_08_01
16552;CLIENT;05/08/2019;Possibilité d'affecter un code Partenaire à un client.;Sous condition que la case Gestion partenaire soit cochée.;;;FICHE CLIENT - Onglet Commercial - Onglet Marketing;PARAMETRES GENERAUX - Divers - Onglet Page 1 - Cocher Gestion Partenaire;;;O;Ecran;Nouveauté;;2019_08_01
16553;CLIENT;05/08/2019;Nouveaux critères de recherche sur les champs Partenaire (agence, conducteur, marché...);Sous condition que la case Gestion partenaire soit cochée.;;;RECHERCHE CLIENT - Onglet Complément;PARAMETRES GENERAUX - Divers - Onglet Page 1 - Cocher Gestion Partenaire;;;O;Ecran;Nouveauté;;2019_08_01
16545;CLIENT;03/08/2019;Consulter et éditer l'historique Phoning des clients avec possibilité de critères de selection.;;;;MENU LES CLIENTS - DIVERS - Traitement Editions - Bouton Phoning;;;;N;Ecran+Impression;Nouveauté;;2019_08_01
16546;CLIENT;03/08/2019;Consulter et éditer l'historique Message des clients avec possibilité de critères de selection.;;;;MENU LES CLIENTS - DIVERS - Traitement Editions - Bouton Message;;;;N;Ecran+Impression;Nouveauté;;2019_08_01
16547;FACTURE;03/08/2019;Possibilité de gérer 2  entreprises Coup de pouce CEE.;Un paramètre permet lors de la facture/devis de choisir l'entreprise.;;;PARAMETRES GENERAUX - Facture - Onglet Divers 7;;;;O;;Modification;;2019_08_01
16544;STOCK;01/08/2019;Possibilité de gérer plusieurs magasins dans le cas d'une gestion d'agences.;Condition : Avoir une gestion d'au moins 2 Agences;;;PARAMETRES GENERAUX - STOCK - Cocher Magasin Agence;;;;O;;Nouveauté;;2019_08_01
16548;CLIENT;01/08/2019;Bouton Appel de la fiche client à partir d'une intervention;Le bouton Appel ne permet que la consultation (pas de création/modification/suppression);;;OK;;;;N;Ecran;Modification;;2019_08_01
16549;CLIENT;01/08/2019;L'affichage des prévisions se fait désormais plein écran.;;;;OK;;;;N;Ecran;Modification;;2019_08_01
16540;COMPTABILITE;26/07/2019;N° de Remise bancaire.;Compteur et/ou préfixe possible selon le code agence choisie lors de la création de la remise.;;;PARAMETRES COMPTEURS;;;;O;Ecran;Nouveauté;;2019_07_01
16541;DIVERS;26/07/2019;Fiche Agence. Possibilité d'affecter un préfixe et compteur pour la remise bancaire.;;;;FICHE AGENCE - Onglet Divers;;;;N;Ecran;Nouveauté;;2019_07_01
16543;STOCK;26/07/2019;Catalogue RGS - Juillet 2019;;;;OK;;;;N;;Modification;;2019_07_01
16538;CLIENT;25/07/2019;Interdire la modification du type de clientèle dans la fiche client selon utilisateur;;;;MENU LES PARAMETRES - Autorisations - Bouton Gestion - Onglet Client;;;;O;Impression;Nouveauté;;2019_07_01
16539;PLANNING HEBDO;25/07/2019;Visualisation du planning Technicien à partir du planning hebdo (bouton rouge sur chaque journée) ;Ajout de critéres de sélection (Agence, Equipe, type technicien..);;;OK;;;;N;Ecran;Modification;;2019_07_01
16542;TIERS;25/07/2019;Le bouton Prévisions de la fiche Tiers était inopérant.;;;;Corrigé;;;;N;Ecran;Correction;;2019_07_01
16537;CLIENT;24/07/2019;Edition du Registre des équipements contenant des CFC...;Pour un client ou tous les clients;;;Fiche APPAREIL - Onglet Contrôle - Onglet Circuit Froid - Bouton Imprimer (pour un  client);MENU Divers - Attestation - Circuit Froid - Bouton Registre (pour tous les clients);;;N;Impression;Nouveauté;;2019_07_01
16536;CLIENT;19/07/2019;Non conformités.;Liste des clients ayant eu des interventions après une non conformité constatée et non réparée.;;;LES FACTURES - Bouton Edition - Bouton Non Conformités;LES FACTURES - Bouton Courrier - Bouton Non Conformités;;;N;Ecran+Impression;Nouveauté;;2019_07_01
16535;CLIENT;18/07/2019;Non conformités, édition liste ou courrier.;Ajout de critères de sélection, Technicien, NIveau, Code....;Pour la liste, possibilité d'éditer avec une seule anomalie ou avec toutes les anomalies.;;LES FACTURES - Bouton Courrier - Bouton Non Conformités;;;;N;Ecran;Modification;;2019_07_01
16533;FACTURE;17/07/2019;Possibilité d'affecter un devis à une intervention gratuite.;Le devis ne doit comporter que des lignes non facturées. Le traitement se comporte comme une conversion.;Le corps de l'intervention comportera toutes les lignes du devis.;;LES FACTURES - Bouton Divers - Bouton Affecter Devis à une intervention;;;;N;Ecran;Nouveauté;;2019_07_01
16534;FACTURE;17/07/2019;Saisie rapide retour.;Si le n° de devis est renseigné, possibilité de le convertir vers l'intervention gratuite.;Le devis ne doit comporter que des lignes non facturées. Le traitement se comporte comme une conversion.;Le corps de l'intervention comportera toutes les lignes du devis.;PARAMETRES GENERAUX - Facture - Onglet Devis - Convertir devis gratuit vers intervention gratuite;;;;O;Ecran;Nouveauté;;2019_07_01
16528;INTERVENTION;16/07/2019;Nouveaux paramètres d'envoi SMS;Possibilité d'envoyer le même jour les VE sur 2 jours différents;EX le Lundi envoyer les SMS pour les VE de Mercredi et Jeudi;;PARAMETRES GENERAUX - SMS - Groupe Délai d'envoi;;;;O;Ecran;Nouveauté;;2019_07_01
16529;STOCK;16/07/2019;Possibilité de rendre obligatoire l'agence dans une fiche fournisseur;;;;PARAMETRES GENERAUX - Stock - Onglet Page 3;;;;O;Ecran;Nouveauté;;2019_07_01
16530;STOCK;16/07/2019;Nouveau critère de recherche fournisseur par le code agence.;;;;MENU LE STOCK - Fournisseur;;;;O;Ecran;Nouveauté;;2019_07_01
16531;STOCK;16/07/2019;Création de commande. Rendre obligatoire le fait que l'agence saisie soit celle du fournisseur choisi.;;;;PARAMETRES GENERAUX - Stock - Onglet Commande - Cocher Fournisseur en lien avec l'agence;;;;O;Ecran;Nouveauté;;2019_07_01
16524;INTERVENTION;15/07/2019;Possibilité de voir le résultat des envois de SMS;;;;MENU LES CONTRATS - Planning Entretien - Bouton SMS - Bouton Voir Résultats SMS;;;;N;Ecran;Nouveauté;;2019_07_01
16525;STOCK;15/07/2019;3ème ligne d'adresse pour l'écran fournisseur.;;;;OK;;;;N;Ecran;Nouveauté;;2019_07_01
16527;INTERVENTION;15/07/2019;Nouveaux paramètres d'envoi SMS;Format du nom de fichier (avec ou sans date, avec ou sans le nom de dossier...);Format de la date dans le nom de fichier (inversé ou normal);;PARAMETRES GENERAUX - SMS - Groupe Nom de fichier;;;;O;Ecran;Nouveauté;;2019_07_01
16532;STOCK;15/07/2019;Voiture Type. Possibilité de changer le code d'une voiture type.;;;;LE STOCK - Article - Bouton Stock Voiture - Bouton Voiture Type - Bouton Changer;;;;N;Ecran;Nouveauté;;2019_07_01
16523;CLIENT;12/07/2019;Interdire la modification de la date de prochain entretien selon utilsateur;;;;PARAMETRES Autorisations - Bouton Gestion - Onglet Client - Groupe Interdire;;;;O;Ecran;Nouveauté;;2019_07_01
16526;INTERVENTION;12/07/2019;Possibilité d'envoyer les alertes SMS sur un sFTP;;;;PARAMETRES GENERAUX - SMS;;;;O;Ecran;Nouveauté;;2019_07_01
16516;STOCK;09/07/2019;A partir de la fiche Article, Bouton Voiture. ;Il est possible de sélectionner une voiture, une agence.;;;OK;;;;N;Ecran;Modification;;2019_07_01
16517;STOCK;09/07/2019;A partir de la fiche Article, Bouton Histo Voiture. ;Il est possible de sélectionner une voiture, une agence, le sens (sortie ou entrée);;;OK;;;;N;Ecran;Modification;;2019_07_01
16518;STOCK;09/07/2019;A partir de la fiche Article, Bouton Historique;Il est possible de sélectionner une agence, le sens (sortie ou entrée), le type (facturé, garanti, à charge), des dates;;;OK;;;;N;Ecran;Modification;;2019_07_01
16519;STOCK;09/07/2019;A partir de la fiche Article, Bouton Corps;Il est possible de sélectionner une agence, un technicien, le type de document (Facture, Devis, Avoir), la sortie (facturé, garanti, à charge);;;OK;;;;N;Ecran;Modification;;2019_07_01
16520;STOCK;09/07/2019;Voiture Type. Edition des manques ou surplus;Il est possible de sélectionner une agence.;;;LE STOCK - Article - Bouton Stock Voiture - Bouton Voiture Type;;;;N;Ecran;Modification;;2019_07_01
16522;STOCK;09/07/2019;A partir de la fiche Article, Bouton Inventaire;Il est possible de sélectionner un technicien, des dates, un type (voiture ou magasin);;;OK;;;;N;Ecran;Modification;;2019_07_01
16521;DIVERS;08/07/2019;Nouveau contrôle des caractères sur les  appareils;Traitement listant les appareils et nomenclatures ayant des caractères interdits;Ce traitement contrôle la marque, modèle, code nomenclature....En cas de mise à jour demandé le système supprime le caractère concerné.;;LES FICHIERS - Nomenclature - Bouton Contrôles Caractères;;;;N;Ecran;Modification;;2019_07_01
16515;PLANNING HEBDO;04/07/2019;Dans le planning graphique, possibilité de ne pas récupérer l'heure choisie dans la création de l'intervention.;;;;PARAMETRES GENERAUX - Intervention - Onglet Saisie 1;;;;O;Ecran;Nouveauté;;2019_07_01
16514;CLIENT;03/07/2019;Provisions contrat Mode 1.;Obtenir le résultat sur écran avant édition avec possibilité extraction Excel. ;;;OK;;;;N;Ecran;Nouveauté;;2019_07_01
16512;CLIENT;27/06/2019;Gestion des réclamations. Possibilité de basculer les réclamations en cloture définitive selon une date de traitement;;;;MENU LES CLIENTS -  Divers - Contrôle client - Onglet Page 3 - Bouton Mise à jour réclamation;;;;N;Ecran;Nouveauté;;2019_06_01
16510;CLIENT;26/06/2019;Possibilité d'afficher au démarrage la liste des réclamations non cloturées définitivement et selon des paramètres.;;;;PARAMETRES GENERAUX - Divers - Onglet Automatismes;;;;O;Ecran;Nouveauté;;2019_06_01
16511;CLIENT;26/06/2019;Possibilité d'interdire selon l'utilisateur l'affichage automatique des réclamations non cloturées définitivement;;;;PARAMETRES AUTORISATIONS - Onglet Client;;;;O;Ecran;Nouveauté;;2019_06_01
16503;INTERVENTION;25/06/2019;Ajout du N° rue dans les liste des Interventions;;;;MENU LES INTERVENTIONS - Appels  - Bouton Liste;;;;;Ecran+Impression;Modification;;2019_06_01
16504;STOCK;25/06/2019;Fiche article. Ajout de nouveaux champs dans l'onglet divers : Classe de régulation, Niveau sonore, Puissance thermique;Ces informations peuvent être reprises dans les factures/devis si paramètre coché.;;;PARAMETRES GENERAUX - Stock - Cocher Edition Informations;;;;O;Ecran;Nouveauté;;2019_06_01
16505;CLIENT;25/06/2019;Fiche réclamation. Ajout de nouveaux champs : Statut (en cours, cloture partielle, cloture définitive) avec leur date respective.;;;;FICHE CLIENT - Bouton Réclamation;;;;N;Ecran;Modification;;2019_06_01
16506;CLIENT;25/06/2019;Edition de la liste des réclamations. Ajout de critères de sélection : Statut, Mode, Date cloture...;Le traitement a été déplacé dans le menu client.;;;MENU LES CLIENTS - Divers - Editions diverses - Liste Réclamation;;;;N;Impression;Modification;;2019_06_01
16507;FACTURE;25/06/2019;Le technicien prime peut être affecté automatiquement selon la proposition affectée à l'intervention.;Voir modification 16501;;;PARAMETRES GENERAUX - Contrat - Individuel - Onglet Page 5;;;;O;Impression;Modification;;2019_06_01
16508;FACTURE;24/06/2019;Saisie de Retour. Possibilité d'avoir une alerte si une intervention future est programmée avec un code intervention identique.;Ex : le technicien effectue une VE non prévue lors de l'intervention, alors qu'une VE est programmée plus tard.;;;PARAMETRES GENERAUX - Facture - Onglet Divers 5;;;;O;Impression;Nouveauté;;2019_06_01
16509;STOCK;24/06/2019;L'affectation du stock voiture à un technicien selon voiture type était inactive.;;;;Corrigé;;;;N;Ecran;Correction;;2019_06_01
16502;COMPTABILITE;21/06/2019;Interface comptable.;Création des lignes de TVA en auto liquidation, avec une ligne en débit et une ligne en crédit qui vont donc s'annuler.;Le montant est normalement calculé sur une TVA à 20 %.;Voir les paramètres à renseigner.;PARAMETRES COMPTABILITE - Onglet TVA;;;;O;;Nouveauté;;2019_06_01
16500;FACTURE;17/06/2019;Nouveau champ dans la table NOUVEAUC dans la table FACTUDIVD.;Ce champ permet de savoir si la facture contrat correspond à un nouveau contrat.;il est possible de paramètrer le délai (facultatif) entre un arrêt de contrat et un nouveau contrat.;Ex 30 = si moins de 30 jours entre un arrêt de contrat et un nouveau contrat, ce n'est pas considérer comme un nouveau contrat.;PARAMETRES GENERAUX - CONTRAT - Onglet Individuel - Onglet Page 5;;;;O;;Modification;;2019_06_01
16501;CLIENT;17/06/2019;Nouvelle table PROPSCONT. (proposition contrat);Cette table est renseignée lors de l'édition et/ou envoi de mail d'une proposition de contrat selon paramètre.;il est possible dans la fiche intervention d'affecter le code proposition.;;PARAMETRES GENERAUX - CONTRAT - Onglet Individuel - Onglet Page 5;;;;O;;Modification;;2019_06_01
16499;STOCK;13/06/2019;Catalogue DIFF - 2019;;;;OK;;;;N;;Modification;;2019_06_01
16498;FACTURE;11/06/2019;Affichage du temps plannifié lors de l'intervention;;;;OK;;;;N;Ecran;Nouveauté;;2019_06_01
16497;FACTURE;06/06/2019;Editions des relances de factures.;Nouvelles variables pouvant être utilisées dans le texte concernant des informations de l'administratif envoyant la relance.;Nom, email, télephone mobile, ligne directe;;OK;;;;N;Ecran+Impression;Nouveauté;;2019_06_01
16496;PERSONNEL;05/06/2019;Nouveau champ dans la fiche personnel. Ligne directe téléphone.;;;;OK;;;;N;Ecran;Nouveauté;;2019_06_01
16492;STOCK;28/05/2019;Catalogue ARKTEOS - 2019;Pièces détachées;;;OK;;;;N;;Modification;;2019_05_01
16493;STOCK;28/05/2019;Catalogue DAIKIN - 2019;;;;OK;;;;N;;Modification;;2019_05_01
16494;FACTURE;28/05/2019;Nouvel écran possible pour la saisie rapide des retours. (l'écran se nomme RAPIDSA);Les techniciens sont saisis avant les heures.;;;PARAMETRES GENERAUX - Facture - Onglet Divers 4;;;;O;Ecran;Nouveauté;;2019_05_01
16495;PRELEVEMENT;28/05/2019;Domiciliation bancaire du client.;Pour les RIB hors France, plus de saisie des codes Banque, Guichet, Compte et clé RIB.;il faudra saisir les lettres Pays et l'IBAN;;MENU LES FICHIERS - Domiciliation Bancaire - Saisie;;;;N;Ecran;Modification;;2019_05_01
16490;FACTURE;27/05/2019;Liste des impayés.;Possibilité de paramétrer par défaut, avec actions téléphoniques et exclusion pas de relance. ;;;PARAMETRES GENERAUX - Facture - Onglet Divers 6;;;;O;Ecran;Nouveauté;;2019_05_01
16491;CLIENT;27/05/2019;Création client rapide. Ajout du bouton Proposition Contrat;;;;OK;;;;N;Ecran;Modification;14243;2019_05_01
16486;CONTRAT;23/05/2019;Ne pas envoyer de Rappel AVP selon le code agence ;;;;MENU LES PARAMETRES  - Agences  - Cocher Pas de Rappel AVP;;;;N;Ecran;Nouveauté;;2019_05_01
16487;CLIENT;23/05/2019;Ne pas envoyer de Rappel AVP selon le client.;;;;Fiche Client - Onglet Entretien  - Cocher Pas de Rappel AVP;;;;N;Ecran;Nouveauté;;2019_05_01
16488;FACTURE;23/05/2019;Possibilité de rendre CADUC des devis selon un nombre de jours dépassés (minimum 30 jours);Paramètre pour que le passage ait lieu pendant le contrôle facture.;;;PARAMETRES GENERAUX - Facture - Onglet Devis;;;;O;Ecran;Nouveauté;;2019_05_01
16489;DIVERS;23/05/2019;Nouvel automate (028) pour rendre Caduc les devis;Sous condition que le paramètre (nombre de jours) de passage en en CADUC soit renseigné. (voir évolution 16488);;;OK;;;;N;Ecran;Nouveauté;;2019_05_01
16484;FACTURE;21/05/2019;Annulation de plusieurs factures avec saisie;;;;MENU LES FACTURES - Facture - Bouton Annulation - Bouton Annulation Plusieurs avec Saisie;;;;N;Ecran;Nouveauté;;2019_05_01
16485;FACTURE;21/05/2019;Annulation de plusieurs factures avec fichier externe.;Le fichier externe doit être de format CSV, comprenant 2 champs N° facture + * (étoile);;;MENU LES FACTURES - Facture - Bouton Annulation - Bouton Annulation Plusieurs avec Fichier Externe;;;;N;Ecran;Nouveauté;;2019_05_01
16481;CLIENT;20/05/2019;Possibilité de na pas augmenter le montant du contrat pour un client individuel avant une date de blocage.;;;;Fiche CLIENT - Onglet Contrat;;;;N;Ecran;Nouveauté;;2019_05_01
16482;COLLECTIF;20/05/2019;Nouvelle formule de révision 010534277;;;;OK;;;;N;Ecran;Nouveauté;14781;2019_05_01
16483;COMPTABILITE;20/05/2019;Lien comptable ventes. Compte généraux avec extension activité. ;Possibilité de ne pas tenir compte de l'activité pour les prestations (MO, déplacement,...) et/ou les fournitures.;;;PARAMETRES COMPTABILITE - Onglet Comptes Généraux;;;;N;Ecran;Modification;;2019_05_01
16480;INTERVENTION;17/05/2019;Ne pas envoyer de SMS selon le code agence ;;;;MENU LES PARAMETRES  - Agences  - Cocher Pas de SMS;;;;N;Ecran;Nouveauté;;2019_05_01
16478;FACTURE;14/05/2019;Conversion de devis en facture.;Pour le technicien prime, il est possible de reprendre le technicien prime qui avait été choisi lors du devis.;;;OK;;;;N;Ecran;Modification;;2019_05_01
16479;STOCK;03/05/2019;Suppression articles en masse.;Seule la suppression des articles non utilisés est possible.;;;MENU LE STOCK - Article - Bouton Divers  - Bouton Suppression Articles;;;;N;Ecran;Modification;;2019_05_01
16477;FACTURE;30/04/2019;Coordonnées de l'entreprise prenant en compte le coup de pouce CEE.;Ces coordonnées pourront être reprises automatiquement dans le corps de la facture/devis en saisissant la lettre X à la place;de la référence (voir Bouton Aide Référence) dans la facture.;;PARAMETRES GENERAUX - Facture - Onglet Divers 7;;;;O;Ecran;Nouveauté;;2019_03_01
16472;MOBILITE;29/04/2019;Destinataire des rapports mobilité et documents associés (devis, attestation entretien...);il est possible de paramètrer dans la fiche client le destinataire autre que occupant (propriétaire, gérant...);;;FICHE CLIENT - Onglet TIERS - Rapport intervention Mobilité;;;;N;Ecran;Nouveauté;;2019_04_01
16473;MOBILITE;29/04/2019;Destinataire des rapports mobilité et documents associés (devis, attestation entretien...) pour un logement collectif;il est possible de paramètrer dans la fiche collectif le destinataire en tenant compte notamment du paramètre renseigné dans la fiche;du locataire (onglet Tiers);;FICHE COLLECTIF - Onglet Généralités - Onglet Mail PDA;;;;N;Ecran;Nouveauté;;2019_04_01
16470;FACTURE;26/04/2019;Edition de la liste des factures/devis...;Ajout des colonnes Temps prévu et Temps facturé.;;;MENU FACTURE - FACTURE - Bouton LISTER;;;;N;Impression;Modification;;2019_04_01
16469;FACTURE;25/04/2019;Recherche facture. Nouveau critère permettant de sélectionner les factures ayant fait l'objet d'avoir.;;;;OK;;;;N;Ecran;Modification;;2019_04_01
16471;FACTURE;25/04/2019;Accès à la calculatrice d'aides financières à partir de l 'écran facture/devis, dans l'onglet Corps.;Les montants des aides sont automatiquement récupérés dans l'écran de facture.;;;OK;;;;N;Ecran;Modification;;2019_04_01
16474;FACTURE;25/04/2019;Nouveau champ Prime Fournisseur énergie;;;;OK;;;;N;Ecran;Nouveauté;;2019_03_01
16475;FACTURE;25/04/2019;Possibilité d'interdire la saisie de la prime Fournisseur énergie;;;;PARAMETRES GENERAUX - Facture - Onglet Divers 7;;;;O;Ecran;Nouveauté;;2019_03_01
16476;FACTURE;25/04/2019;La prime fournisseur énergie peut ne pas entrer dans le calcul du Solde.;;;;PARAMETRES GENERAUX - Facture - Onglet Divers 7;;;;O;Ecran;Nouveauté;;2019_03_01
16468;STOCK;24/04/2019;Catalogue CUENOD - 2019;;;;OK;;;;N;;Modification;;2019_04_01
16467;TIERS;16/04/2019;L'affichage des boutons de droite ( facture, historique...) sont désormais en vert si des informations existent.;Dans certains cas, ces boutons apparaissent en rouge pour des alertes ( commandes non soldées, réclamation non traitée..);il est possible de revenir dans l'ancien affichage par un paramètre.;;PARAMETRES GENERAUX - DIVERS - Onglet Page 2 - Cocher Affichage bouton rouge ancienne méthode;;;;O;Ecran;Modification;;2019_04_01
16466;STOCK;10/04/2019;Catalogue GUILLOT - 2019;;;;OK;;;;N;;Modification;;2019_04_01
16458;CLIENT;08/04/2019;L'affichage des boutons de droite (Appel, facture, historique...) sont désormais en vert si des informations existent.;Dans certains cas, ces boutons apparaissent en rouge pour des alertes ( anomalies non traitées, date tuyau de gaz dépassée..);il est possible de revenir dans l'ancien affichage par un paramètre.;;PARAMETRES GENERAUX - DIVERS - Onglet Page 2 - Cocher Affichage bouton rouge ancienne méthode;;;;O;Ecran;Modification;;2019_04_01
16459;PLANNING AUTO;08/04/2019;Possibilité en planning auto, que les interventions soit créées en Attente (Pictogramme jaune) ;;;;PARAMETRES GENERAUX - CONTRAT - Onglet Planning Auto 1;;;;O;Ecran;Modification;14279;2019_04_01
16460;FACTURE;08/04/2019;Rendre obligatoire le temps prévu selon le code activité pour les devis.;;;;FICHIERS GENERAUX - Onglet Divers 1 - Onglet Activité;;;;N;Ecran;Modification;14155;2019_04_01
16461;CLIENT;08/04/2019;Ne pas rendre obligatoire le téléphone et le mail pour client Partie commune.;;;;PARAMETRES GENERAUX - Divers - Onglet Page 2;;;;O;Ecran;Nouveauté;14416;2019_04_01
16462;FACTURE;08/04/2019;Possibilité d'interdire la mise à jour impayé selon utilisateur.;;;;PARAMETRES AUTORISATIONS - Gestion - Onglet Facture;;;;O;Ecran;Nouveauté;14453;2019_04_01
16463;STOCK;08/04/2019;Etat total des stocks avec répartition Magasin/Voiture;;;;LE STOCK - Article - Bouton Imprimer - Bouton Etat des Stocks - Total;;;;N;Ecran;Modification;14203;2019_04_01
16464;DIVERS;08/04/2019;Nouvel Automate 002 pour extraction des clients ayant une option Astreinte;;;;OK;;;;N;Ecran;Nouveauté;14512;2019_04_01
16465;FACTURE;08/04/2019;Ecran de Résultat Factures non soldées.;Ajout du Payeur, notion Pas relance et motif de Pas de relance;;;MENU LES FACTURES - Bouton Editions  - Bouton Factures non soldées;;;;N;Ecran;Modification;14298;2019_04_01
16455;STOCK;04/04/2019;Catalogue AUER - 2019;;;;OK;;;;N;;Modification;;2019_04_01
16456;STOCK;04/04/2019;Catalogue BROSSETTE - 2019;;;;OK;;;;N;;Modification;;2019_04_01
16457;FACTURE;04/04/2019;Possibilité de calculer l'acompte demandé sur le solde et non sur le total TTC;;;;PARAMETRES GENERAUX - FACTURE - Onglet Devis;;;;O;;Modification;;2019_04_01
16452;FACTURE;03/04/2019;Aide au calcul des aides (CITE, Coup de pouce, ANAH);Possibilité de saisir les paramètres de droits (Taux, Plafond, Conditions de ressources...);Possibilité de calculer les aides possibles selon paramètres et profil du client.;;MENU FACTURE - Bouton DIVERS  - Bouton Aides Financières;;;;;Ecran;Nouveauté;;2019_04_01
16453;CONTRAT;02/04/2019;PCA avec % entretien ( Méthode 8 );Tenir compte de l'écart de jour autorisé pour test VE faite;;;OK;;;;;;Modification;;2019_04_01
16454;STOCK;02/04/2019;Catalogue COMPTOIR DES FERS - 2019;;;;OK;;;;N;;Modification;;2019_04_01
16451;PLANNING AUTO;27/03/2019;Dans l'écran de résultat planning auto, apparait l'alerte appel de la fiche client.;L'alerte est signalée avec un pictogramme A dans un fond rouge.;;;OK;;;;N;Ecran;Modification;;2019_03_01
16447;FACTURE;22/03/2019;Edition des impayés (relance + relevé) avec édition des factures.;Le système n'éditait pas les factures.;;;Corrigé;;;;N;;Correction;14473;2019_03_01
